"id","host_is_superhost","host_identity_verified","neighborhood","room_type","accommodates","bathrooms","bedrooms","beds","price","logprice","logacc"
8792,0,0,"Downtown","Entirehome/apt",2,1,1,1,154,5.03695260241363,0.693147180559945
10810,0,0,"Allston","Entirehome/apt",5,1,2,4,250,5.52146091786225,1.6094379124341
10811,0,0,"BackBay","Entirehome/apt",3,1,0,2,189,5.24174701505964,1.09861228866811
22212,0,1,"BackBay","Entirehome/apt",4,1,2,2,285,5.65248918026865,1.38629436111989
28150,0,1,"BackBay","Entirehome/apt",2,1,1,1,184,5.21493575760899,0.693147180559945
47722,0,1,"BackBay","Privateroom",2,1,1,1,479,6.17170059741091,0.693147180559945
60356,0,0,"Downtown","Entirehome/apt",2,1,1,1,175,5.16478597392351,0.693147180559945
170715,0,0,"BackBay","Entirehome/apt",4,1,1,2,200,5.29831736654804,1.38629436111989
307571,0,0,"BeaconHill","Entirehome/apt",2,1,1,1,150,5.01063529409626,0.693147180559945
311240,0,1,"BackBay","Entirehome/apt",2,1,0,1,185,5.22035582507832,0.693147180559945
322593,1,1,"SouthEnd","Entirehome/apt",2,1,1,1,197,5.28320372873799,0.693147180559945
441014,0,1,"BeaconHill","Entirehome/apt",2,1,1,1,195,5.27299955856375,0.693147180559945
442735,0,1,"SouthEnd","Entirehome/apt",5,1,3,4,250,5.52146091786225,1.6094379124341
472070,0,0,"BackBay","Entirehome/apt",5,1,2,2,150,5.01063529409626,1.6094379124341
497810,1,1,"Downtown","Entirehome/apt",8,1,3,4,299,5.70044357339069,2.07944154167984
543078,0,1,"BackBay","Entirehome/apt",4,1,2,2,379,5.93753620508243,1.38629436111989
583255,0,1,"Brighton","Entirehome/apt",2,1,1,1,149,5.00394630594546,0.693147180559945
798957,1,1,"SouthEnd","Entirehome/apt",4,2,2,2,327,5.78996017089725,1.38629436111989
824244,0,0,"SouthEnd","Privateroom",4,1,1,1,95,4.55387689160054,1.38629436111989
891953,0,1,"Downtown","Entirehome/apt",3,1.5,1,2,185,5.22035582507832,1.09861228866811
989163,1,1,"SouthEnd","Entirehome/apt",2,1,0,1,170,5.13579843705026,0.693147180559945
990668,1,1,"SouthEnd","Privateroom",2,1,1,1,157,5.05624580534831,0.693147180559945
1183032,1,1,"SouthEnd","Entirehome/apt",2,1,1,1,150,5.01063529409626,0.693147180559945
1200502,0,1,"SouthEnd","Entirehome/apt",2,1,1,1,165,5.10594547390058,0.693147180559945
1240598,0,0,"Downtown","Entirehome/apt",2,1,1,1,145,4.97673374242057,0.693147180559945
1252289,1,1,"SouthEnd","Privateroom",2,1,1,1,99,4.59511985013459,0.693147180559945
1252489,0,1,"BeaconHill","Entirehome/apt",2,1,1,1,200,5.29831736654804,0.693147180559945
1275498,1,1,"SouthEnd","Entirehome/apt",2,1,0,1,160,5.07517381523383,0.693147180559945
1278391,0,1,"BackBay","Entirehome/apt",3,1,1,1,199,5.29330482472449,1.09861228866811
1303261,0,1,"BeaconHill","Entirehome/apt",2,1,1,1,375,5.92692602597041,0.693147180559945
1489289,0,1,"SouthEnd","Entirehome/apt",2,1,1,1,125,4.8283137373023,0.693147180559945
1498719,0,1,"BackBay","Entirehome/apt",2,1,0,1,325,5.78382518232974,0.693147180559945
1523772,0,0,"Brighton","Entirehome/apt",1,1,1,1,120,4.78749174278205,0
1584340,0,0,"BeaconHill","Entirehome/apt",2,1,2,1,175,5.16478597392351,0.693147180559945
1589392,1,0,"BackBay","Entirehome/apt",2,1,0,1,110,4.70048036579242,0.693147180559945
1766985,0,0,"Brighton","Privateroom",2,1,1,1,57,4.04305126783455,0.693147180559945
1868513,0,1,"BackBay","Entirehome/apt",3,1,1,2,231,5.44241771052179,1.09861228866811
1873046,0,0,"Downtown","Entirehome/apt",3,1,1,1,195,5.27299955856375,1.09861228866811
1886037,0,1,"BeaconHill","Entirehome/apt",4,1.5,2,2,230,5.4380793089232,1.38629436111989
