userId,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,film-noir,horror,imax,musical,mystery,romance,sci-fi,thriller,war,western
24,431,384,40,101,917,351,54,1085,153,20,151,8,64,108,407,199,396,122,69
46,845,532.5,127,179,969,328.5,22,765.5,287.5,14.5,482,19.5,56,192,287,494,779.5,87,82
120,220.5,320,120.5,116,849.5,259.5,20,1034.5,241,16.5,74.5,19.5,71,139,413,209.5,296,103.5,30.5
132,292,302,85,110,759,335,25,1091,172,35,122,7,84,160,403,183,394,100,28
150,336,173,20,41,636,317,36,953,129,22,282,3,37,144,234,241,483,76,28
229,580,531,157,230,1287,480,104,1964,363,89,359,9,243,281,589,498,732,173,70
231,1519,930,185.5,185.5,1268.5,730.5,43.5,2187,448.5,23.5,356.5,254.5,59,372,628.5,844,1434.5,308.5,83
251,599,337.5,50,78,436,369.5,3.5,676.5,153,16,187.5,13,28,178.5,188,371.5,632.5,77,28
332,570.5,537.5,269,314,1e3,460.5,80.5,985,331,10.5,229,175,123.5,185,313.5,333.5,576,65.5,34
340,434,454,185.5,172,802,237.5,35.5,892.5,263.5,27,43.5,112.5,68.5,145.5,576.5,230.5,319,126.5,52
346,334.5,321.5,57.5,140.5,1168,560.5,66,2130.5,202,74.5,149,4,113.5,256.5,725,147.5,622.5,166.5,92
362,399,362,88,107,689,222,47,928,251,36,364,10,110,171,367,443,527,87,21
368,363.5,291.5,138,176.5,793.5,318.5,14.5,928.5,179.5,7,108.5,25.5,90,132,484,185.5,459.5,62.5,17.5
390,605.5,704,382,457,1121,272.5,66,1085,488.5,0,281,62,228,159,441.5,433.5,405,102,50.5
398,703,357.5,40,32.5,421,356.5,10,676.5,155.5,15.5,506,9,23.5,156.5,135,364.5,713.5,159,70
429,1219.5,759,147.5,129.5,834,538,46.5,1215,270,28,202.5,171.5,53,309.5,317,579,990,241.5,53.5
434,539,304,104,50,537,359.5,42,1063.5,180,22,332.5,11.5,41,236.5,277.5,343.5,658,107.5,41.5
468,605.5,568.5,289,371.5,955,249,11.5,559.5,375,4,136,77,184,104,315.5,327.5,418,60.5,22.5
483,465,511,182,226.5,1002,407,58,1673.5,278.5,50.5,95.5,56.5,189,235,852.5,267,543,158,26
533,864,600,124,245,1247,435,0,1364,301,16,245,17,126,201,992,424,834,96,71
543,354,280,71,113,693,378,46.5,1083.5,146,80,70,3,149,113,318,195.5,337,222.5,74
559,914,745.5,180.5,211,747.5,416,4,620,313,3,38.5,263,69,151.5,243,493,618,81.5,26
567,715,523,175,193,1097,439,68,1335,323,14,228,116,84,157,555,424,640,136,16
611,315.5,348.5,91,146,1215,271,63.5,1591,183,51,49,6,167.5,187.5,764.5,342.5,417.5,108,53
625,151.5,191,11,27.5,602,346.5,100,1409,102.5,91.5,48.5,4.5,70.5,227,506.5,55,303.5,164,55
682,469.5,340,82,158.5,1100,393.5,12.5,1478.5,196.5,20,116,26.5,62.5,206,740.5,202,645.5,85.5,29
702,718,560,184,188.5,469,314.5,5,678,267,3.5,103,230,36.5,125,251,324.5,549,116,18
719,919.5,667.5,151.5,154,554.5,281.5,3.5,667,400,4,295,338.5,50,202,279,526,663.5,85,22
755,391.5,276.5,105.5,143.5,913,363.5,36,892.5,153.5,4.5,131.5,50,98,93.5,352.5,200,449,32,9
778,781.5,554,123.5,96,754,520.5,64,1199.5,295,26,276.5,162,51.5,237,329,558,782.5,89,40.5
805,339,232,30,57,680,267,40,1021,182,24,68,8,70,135,508,194,368,68,19
825,385,344.5,114.5,92,904,619,36,1899,165.5,103,149,43,26,271,464.5,221.5,613.5,181.5,104.5
834,1243,895,131,139.5,479,464,9.5,715.5,255.5,15.5,93.5,208.5,66,190.5,187.5,631.5,841,154,107.5
836,1339.5,1388.5,618,815,2296,497.5,109,1724,809.5,6,198,380.5,285,296.5,1170.5,885,986.5,122.5,38.5
878,620,591.5,195,186.5,754.5,195.5,49,677.5,331.5,6,105.5,179,98.5,143.5,351.5,529.5,404.5,57.5,26
924,762.5,620,176,123,883,505,67,1617.5,292,22.5,251.5,106.5,71.5,356,455,533.5,854.5,186.5,40.5
930,1519,1064.5,297,282,608,448,60.5,1001.5,420,21,186,310,61.5,229,244.5,1025.5,1054,170,56.5
971,1094.5,671,74,167,1032.5,551.5,17,1308,279.5,17,385.5,28.5,78,257,509.5,550,1026.5,196.5,99.5
988,473,462.5,92,198,1296.5,341,54.5,885,257,0,141,11,66,92.5,356.5,220.5,339.5,117.5,52.5
1041,409,377,108.5,175,454,190.5,0.5,393.5,210,7.5,114,79,50.5,84,143.5,229.5,324.5,46.5,25.5
1104,2052,1390,534,382,1123,733.5,6,1121.5,611,11,265,434,59,257,330.5,932,1239,149,70
1126,171.5,165.5,43,82.5,1183,381.5,79,1670,112.5,81,62,14.5,151,231,914,89,391.5,136.5,50.5
1136,798,785,283.5,345,2177,546.5,119.5,1660,391.5,11,91.5,134,201.5,183.5,885,362.5,593.5,151.5,55
1145,710.5,295.5,60.5,66.5,654,691,95,868.5,129.5,31.5,275,22.5,75.5,190,142.5,249.5,663,70,132
1149,349,255,47,96,633,309,0,1111,151,81,441,10,82,264,399,333,597,162,106
1178,759.5,628.5,213.5,373.5,1033,283,3.5,861,330,0,84.5,133.5,156,106.5,431.5,360,461.5,129,23
1243,1394.5,1002.5,392,411,1442.5,598.5,28.5,1639.5,552,8.5,350.5,313.5,113,318,871.5,512.5,1201,144,42
1250,377,567.5,191.5,503,1493,191.5,14.5,1931,435,6,130,146,263.5,147.5,983.5,280.5,393.5,113,17
1261,566.5,591,233,190.5,636.5,175,73.5,798.5,285,3,55.5,204,31.5,104,303.5,372,369,79.5,17.5
1316,1281,670.5,199.5,212,774.5,833,61,1868.5,359.5,24,533,103,67.5,407.5,486,648,1559,214,37.5
1355,305.5,391.5,204,374,1032,199.5,17.5,814,324,6.5,40.5,48,192.5,112,636.5,120,259,52,22
1370,484,414.5,249,165,715,468,168.5,1310,231.5,50,217.5,33,111,249.5,386,344.5,614,171,35
1380,1136,697,206,189,1330.5,757.5,30.5,1999.5,349.5,34,231.5,301.5,62.5,334.5,702,626,1174,163,52.5
1399,707.5,528.5,189.5,147.5,547,464,29,978.5,298,45.5,267,71,57,307.5,254.5,484.5,778.5,145.5,35.5
1484,656.5,519,266.5,396.5,1016.5,364.5,30.5,735.5,355.5,4,256.5,67.5,168,170,329,399,601,55.5,26.5
1572,877,605,232.5,159.5,1010.5,473,58,1214,382,22,319.5,135,103.5,232.5,332,685.5,909.5,85.5,44
1651,223,172.5,59.5,132.5,994.5,257,90.5,837,205,21.5,154,27.5,106.5,142,284.5,128.5,291,90,10.5
1652,1465,1041.5,320,344,1515,869,54.5,1652.5,442,51.5,438.5,193.5,119.5,383.5,580.5,839.5,1470.5,146,51.5
1670,203,241,59,117,580,260,16,1236,103,194,274,4,222,186,494,215,349,253,141
1709,941,525.5,114.5,86,714,531,19.5,907,210,17,335,127,45.5,285,221,672.5,964,103.5,38
1757,341.5,527,205.5,355,1390.5,363,48.5,1897.5,340,58,75,19,225.5,222.5,770.5,263,373.5,210.5,52
1785,861.5,540,137,106.5,750.5,465,63.5,892.5,180.5,10,92,123.5,35,189.5,203,445,798.5,72,64.5
1802,572,584,174,184,1147,380.5,83,1324,307,21.5,168.5,42,134.5,190,633.5,381,532,124,47.5
1832,593.5,462,58.5,78.5,1013.5,347.5,60.5,859.5,169.5,11,83.5,16.5,48,130.5,382.5,211,476.5,151.5,58
1846,1314.5,1176,846.5,552.5,1403.5,698.5,143,2277.5,746.5,61,686.5,231,232.5,527.5,575,957,1451,338,81
1859,1387.5,821,187.5,201,1046.5,529.5,42,970,314.5,8,233.5,300,27,204.5,254,755,1098.5,127,15
1888,643,389.5,116,71.5,572.5,322,24.5,588.5,277,16.5,765.5,38,50.5,221,172,530.5,803,40,49.5
1903,342.5,344,135,204.5,691,179.5,9.5,799,214.5,4,47,31.5,154.5,99.5,404.5,139.5,226,134,44.5
1932,1422,945.5,252.5,398,1739,741.5,51,1477,544,7.5,643,107.5,152.5,319,535,663.5,1311,190.5,61
1944,561.5,403,77.5,109.5,647.5,406.5,33,918.5,228,18.5,132,28.5,93.5,139.5,395,244,548.5,109,30
1947,333.5,356,152,212.5,1188,288.5,34.5,988,254.5,20,182.5,23,195.5,136,428,407,414,63.5,22
2022,520.5,484,166.5,255.5,1286.5,307.5,34,770.5,281.5,7.5,246,107,104,167.5,652,295.5,498,59.5,17
2060,207,373,164,243.5,809,97.5,13,1011,222,0,7,60.5,132.5,74.5,762,183,119.5,26,14.5
2144,557,495,153,124,774,382,122,1388.5,316.5,28.5,143,118.5,74,281.5,406,500,669.5,102.5,30
2154,528,463,185,221.5,992.5,315,10.5,572,307,13,143.5,48.5,132,124,274,356,439.5,29.5,25
2191,1241.5,966,326.5,429,770,345,0,604,550.5,0,212.5,307,98.5,192.5,381,751,868,33.5,21
2306,884,572,95.5,133,922.5,377.5,89.5,773.5,175,3.5,96.5,172.5,66.5,134,295.5,539,704.5,108,32
2313,928,799,242,334,1650,766,182,2147,335,92,255,68,256,361,759,513,944,268,151
2363,825,655.5,246.5,308,1214,412,17,1154,343,14,101,162,172.5,172,620.5,437.5,621.5,107.5,17.5
2384,538.5,443,116,217.5,641,309,14.5,716,201,16,145.5,20.5,126,131,293.5,314,456,67,25
2447,907.5,575.5,222,192.5,734.5,488.5,32.5,696.5,236,75,162.5,19.5,104,218.5,277,379,760,91,104.5
2456,1015.5,600.5,153,136,789,491.5,17,641.5,181.5,7,41.5,216.5,58.5,146.5,267.5,367.5,737.5,72,48.5
2477,712,495.5,54,125.5,759,447,51.5,1041,201,10,130.5,19.5,33.5,158,281.5,319.5,637.5,143,120.5
2489,957.5,880.5,486,448,1631.5,490.5,15.5,1183.5,556.5,4.5,202,302,129.5,237.5,481,678,749.5,96.5,43
2490,825.5,500.5,48,93,940.5,574,20.5,1698.5,217.5,35,163,19,56,234.5,541.5,325,863.5,200,71.5
2506,330,246,84,121,828,386,30,1445,159,72,132,15,135,174,413,151,437,126,40
2520,1138,1120,318,300.5,2202,949,490.5,3762.5,571.5,166,255,172,531,464.5,1115,651,1027.5,457,215
2527,352,315,99,138,606.5,232,50.5,1042.5,181.5,12,63.5,35,108,149,465.5,171,380.5,100.5,14.5
2531,1805,1185.5,368,414,2059.5,1335.5,154,3309.5,561.5,56,158,285,163.5,439.5,1092,594,1669,325,197
2547,1390,811,243,326,2680.5,1236,33,3359,537.5,60,862,152.5,87,712.5,1391,692,2062,230.5,86.5
2555,1265.5,1116.5,591,413.5,1009.5,340,25.5,760,666,18,265,270,131,208.5,341.5,859,727,80.5,39
2609,839,715.5,252,260,926.5,421,29.5,1031,350.5,14.5,146.5,199.5,99,168,397.5,469,592,139.5,42.5
2627,1063.5,761,181.5,229.5,1681,682.5,85,1531,341.5,112,236,65,173.5,273.5,594.5,480.5,852.5,177.5,132
2639,664.5,546,48,82,955,740.5,174,3256,152.5,216.5,90,72,127.5,293.5,1046,226,789.5,516,194.5
2642,674.5,578,43,157.5,491,299.5,8.5,1126,183,1,77,75,60.5,150,300,346.5,640,152,19
2654,640.5,438.5,142.5,151,499,479.5,41.5,1100.5,208.5,12.5,253.5,145.5,44.5,264.5,294.5,343,823,132.5,22
2749,722.5,671,337.5,289.5,627,255,11.5,783,473,8.5,186.5,94,129,160,357.5,621,531.5,73.5,50
2839,434,363,98,133.5,683.5,307.5,6,810,161,27,76.5,29.5,73,137.5,376,236,415,78,44.5
2847,768.5,490,141.5,127.5,621.5,423,15,529.5,193.5,33.5,93.5,67.5,47.5,197,178,356,651.5,41,17
2885,925,802.5,159.5,178,1501.5,715.5,208,2134,536,110.5,1037.5,38.5,223,496.5,618,1015.5,1336,236.5,76.5
2901,497,527.5,182.5,326,804.5,194,11.5,589.5,294,3.5,62,48.5,118.5,90.5,314,290,297.5,81,67.5
2906,418.5,304.5,133.5,180.5,1126,631,14,1395.5,207,17.5,137,37.5,115,397.5,650.5,199,717,101.5,47.5
2924,520,368,60,88.5,421.5,596,21,1418.5,135.5,62,110,151,24,272,272.5,328,788.5,104,55.5
2975,1050,695,176,360,1988,748.5,87,1871,385,65.5,719.5,44,122,393,804,604.5,1363.5,153,58.5
2995,387,274.5,22,62.5,805.5,322,0,1369.5,161.5,8,61,8,98.5,126.5,562.5,169.5,424,136,79.5
2998,245,240.5,79,101,659.5,336.5,48,925.5,155.5,46,64.5,19,85,139,420,169,348.5,77,24.5
